State,City,Year,Month,Day,Store type,Price per kilogram
Nuevo León,Monterrey,2023,1,4,Mom and Pop Store,23.0
Nuevo León,ZM Monterrey,2023,1,4,Mom and Pop Store,23.0
Oaxaca,Oaxaca,2023,1,4,Mom and Pop Store,22.17
Puebla,Puebla,2023,1,4,Mom and Pop Store,16.0
Puebla,ZM Puebla,2023,1,4,Mom and Pop Store,15.0
Querétaro,Querétaro,2023,1,4,Mom and Pop Store,22.5
Quintana Roo,Cancún,2023,1,4,Mom and Pop Store,24.0
Quintana Roo,Chetumal,2023,1,4,Mom and Pop Store,24.0
San Luis Potosí,San Luis Potosí,2023,1,4,Mom and Pop Store,21.0
Sinaloa,Culiacán,2023,1,4,Mom and Pop Store,25.0
Sonora,Cd. Obregón,2023,1,4,Mom and Pop Store,26.33
Sonora,Hermosillo,2023,1,4,Mom and Pop Store,30.0
Sonora,Nogales,2023,1,4,Mom and Pop Store,25.0
Sonora,San Luis Río Colorado,2023,1,4,Mom and Pop Store,
Tabasco,Villahermosa,2023,1,4,Mom and Pop Store,22.6
Tamaulipas,Cd. Victoria,2023,1,4,Mom and Pop Store,23.0
Tamaulipas,Matamoros,2023,1,4,Mom and Pop Store,29.0
Tamaulipas,Nuevo Laredo,2023,1,4,Mom and Pop Store,24.33
Tamaulipas,Reynosa,2023,1,4,Mom and Pop Store,25.25
Tamaulipas,Tampico,2023,1,4,Mom and Pop Store,27.0
Tlaxcala,Tlaxcala,2023,1,4,Mom and Pop Store,16.0
Veracruz,Coatzacoalcos,2023,1,4,Mom and Pop Store,22.0
Veracruz,Veracruz,2023,1,4,Mom and Pop Store,21.25
Veracruz,Xalapa,2023,1,4,Mom and Pop Store,18.0
Yucatán,Mérida,2023,1,4,Mom and Pop Store,25.86
Zacatecas,Zacatecas,2023,1,4,Mom and Pop Store,20.0
Aguascalientes,Aguascalientes,2023,1,6,Mom and Pop Store,21.33
Baja California,Mexicali,2023,1,6,Mom and Pop Store,29.14
Baja California,Tijuana,2023,1,6,Mom and Pop Store,25.45
Baja California Sur,La Paz,2023,1,6,Mom and Pop Store,25.0
Campeche,Campeche,2023,1,6,Mom and Pop Store,23.5
Coahuila,Piedras Negras,2023,1,6,Mom and Pop Store,25.0
Coahuila,Saltillo,2023,1,6,Mom and Pop Store,21.0
Coahuila,Torreón,2023,1,6,Mom and Pop Store,24.0
Colima,Colima,2023,1,6,Mom and Pop Store,26.0
Chiapas,Tapachula,2023,1,6,Mom and Pop Store,22.0
Chiapas,Tuxtla Gutiérrez,2023,1,6,Mom and Pop Store,20.0
Chihuahua,Chihuahua,2023,1,6,Mom and Pop Store,23.67
Chihuahua,Cd. Juárez,2023,1,6,Mom and Pop Store,22.22
D.F.,D.F.,2023,1,6,Mom and Pop Store,20.0
D.F.,ZM D.F.,2023,1,6,Mom and Pop Store,20.0
Durango,Durango,2023,1,6,Mom and Pop Store,20.25
Durango,Gómez Palacio,2023,1,6,Mom and Pop Store,25.5
Guanajuato,Celaya,2023,1,6,Mom and Pop Store,23.0
Guanajuato,León,2023,1,6,Mom and Pop Store,22.0
Guerrero,Acapulco,2023,1,6,Mom and Pop Store,29.0
Guerrero,Chilpancingo,2023,1,6,Mom and Pop Store,25.33
Hidalgo,Pachuca,2023,1,6,Mom and Pop Store,23.0
Jalisco,Guadalajara,2023,1,6,Mom and Pop Store,24.08
Jalisco,ZM Guadalajara,2023,1,6,Mom and Pop Store,24.15
Edo. México,Toluca,2023,1,6,Mom and Pop Store,19.0
Michoacán,Morelia,2023,1,6,Mom and Pop Store,21.29
Morelos,Cuernavaca,2023,1,6,Mom and Pop Store,26.0
Nayarit,Tepic,2023,1,6,Mom and Pop Store,23.33
Nuevo León,Monterrey,2023,1,6,Mom and Pop Store,23.0
Nuevo León,ZM Monterrey,2023,1,6,Mom and Pop Store,23.0
Oaxaca,Oaxaca,2023,1,6,Mom and Pop Store,22.17
Puebla,Puebla,2023,1,6,Mom and Pop Store,16.0
Puebla,ZM Puebla,2023,1,6,Mom and Pop Store,15.0
Querétaro,Querétaro,2023,1,6,Mom and Pop Store,22.5
Quintana Roo,Cancún,2023,1,6,Mom and Pop Store,24.0
Quintana Roo,Chetumal,2023,1,6,Mom and Pop Store,24.0
San Luis Potosí,San Luis Potosí,2023,1,6,Mom and Pop Store,21.0
Sinaloa,Culiacán,2023,1,6,Mom and Pop Store,25.0
Sonora,Cd. Obregón,2023,1,6,Mom and Pop Store,26.33
Sonora,Hermosillo,2023,1,6,Mom and Pop Store,30.0
Sonora,Nogales,2023,1,6,Mom and Pop Store,25.0
Sonora,San Luis Río Colorado,2023,1,6,Mom and Pop Store,
Tabasco,Villahermosa,2023,1,6,Mom and Pop Store,22.6
Tamaulipas,Cd. Victoria,2023,1,6,Mom and Pop Store,23.0
Tamaulipas,Matamoros,2023,1,6,Mom and Pop Store,29.0
Tamaulipas,Nuevo Laredo,2023,1,6,Mom and Pop Store,24.33
Tamaulipas,Reynosa,2023,1,6,Mom and Pop Store,25.25
Tamaulipas,Tampico,2023,1,6,Mom and Pop Store,27.0
Tlaxcala,Tlaxcala,2023,1,6,Mom and Pop Store,16.0
Veracruz,Coatzacoalcos,2023,1,6,Mom and Pop Store,22.0
Veracruz,Veracruz,2023,1,6,Mom and Pop Store,21.25
Veracruz,Xalapa,2023,1,6,Mom and Pop Store,18.5
Yucatán,Mérida,2023,1,6,Mom and Pop Store,25.86
Zacatecas,Zacatecas,2023,1,6,Mom and Pop Store,20.0
Aguascalientes,Aguascalientes,2023,1,9,Mom and Pop Store,21.33
Baja California,Mexicali,2023,1,9,Mom and Pop Store,29.14
Baja California,Tijuana,2023,1,9,Mom and Pop Store,25.45
Baja California Sur,La Paz,2023,1,9,Mom and Pop Store,25.0
Campeche,Campeche,2023,1,9,Mom and Pop Store,23.5
Coahuila,Piedras Negras,2023,1,9,Mom and Pop Store,25.0
Coahuila,Saltillo,2023,1,9,Mom and Pop Store,21.0
Coahuila,Torreón,2023,1,9,Mom and Pop Store,24.0
Colima,Colima,2023,1,9,Mom and Pop Store,26.0
Chiapas,Tapachula,2023,1,9,Mom and Pop Store,22.0
Chiapas,Tuxtla Gutiérrez,2023,1,9,Mom and Pop Store,20.0
Chihuahua,Chihuahua,2023,1,9,Mom and Pop Store,23.67
Chihuahua,Cd. Juárez,2023,1,9,Mom and Pop Store,22.22
D.F.,D.F.,2023,1,9,Mom and Pop Store,20.0
D.F.,ZM D.F.,2023,1,9,Mom and Pop Store,20.0
Durango,Durango,2023,1,9,Mom and Pop Store,20.25
Durango,Gómez Palacio,2023,1,9,Mom and Pop Store,25.5
Guanajuato,Celaya,2023,1,9,Mom and Pop Store,23.0
Guanajuato,León,2023,1,9,Mom and Pop Store,22.0
Guerrero,Acapulco,2023,1,9,Mom and Pop Store,29.0
Guerrero,Chilpancingo,2023,1,9,Mom and Pop Store,25.33
Hidalgo,Pachuca,2023,1,9,Mom and Pop Store,23.0
Jalisco,Guadalajara,2023,1,9,Mom and Pop Store,24.08
Jalisco,ZM Guadalajara,2023,1,9,Mom and Pop Store,24.15
Edo. México,Toluca,2023,1,9,Mom and Pop Store,19.0
Michoacán,Morelia,2023,1,9,Mom and Pop Store,21.29
Morelos,Cuernavaca,2023,1,9,Mom and Pop Store,26.0
Nayarit,Tepic,2023,1,9,Mom and Pop Store,23.33
Nuevo León,Monterrey,2023,1,9,Mom and Pop Store,23.0
Nuevo León,ZM Monterrey,2023,1,9,Mom and Pop Store,23.0
Oaxaca,Oaxaca,2023,1,9,Mom and Pop Store,22.17
Puebla,Puebla,2023,1,9,Mom and Pop Store,16.0
Puebla,ZM Puebla,2023,1,9,Mom and Pop Store,15.0
Querétaro,Querétaro,2023,1,9,Mom and Pop Store,22.5
Quintana Roo,Cancún,2023,1,9,Mom and Pop Store,24.0
Quintana Roo,Chetumal,2023,1,9,Mom and Pop Store,24.0
San Luis Potosí,San Luis Potosí,2023,1,9,Mom and Pop Store,21.0
Sinaloa,Culiacán,2023,1,9,Mom and Pop Store,25.0
Sonora,Cd. Obregón,2023,1,9,Mom and Pop Store,26.33
Sonora,Hermosillo,2023,1,9,Mom and Pop Store,30.0
Sonora,Nogales,2023,1,9,Mom and Pop Store,25.0
Sonora,San Luis Río Colorado,2023,1,9,Mom and Pop Store,
Tabasco,Villahermosa,2023,1,9,Mom and Pop Store,22.6
Tamaulipas,Cd. Victoria,2023,1,9,Mom and Pop Store,23.0
Tamaulipas,Matamoros,2023,1,9,Mom and Pop Store,29.0
Tamaulipas,Nuevo Laredo,2023,1,9,Mom and Pop Store,24.33
Tamaulipas,Reynosa,2023,1,9,Mom and Pop Store,25.25
Tamaulipas,Tampico,2023,1,9,Mom and Pop Store,27.0
Tlaxcala,Tlaxcala,2023,1,9,Mom and Pop Store,16.0
Veracruz,Coatzacoalcos,2023,1,9,Mom and Pop Store,22.0
Veracruz,Veracruz,2023,1,9,Mom and Pop Store,21.25
Veracruz,Xalapa,2023,1,9,Mom and Pop Store,18.5
Yucatán,Mérida,2023,1,9,Mom and Pop Store,25.86
Zacatecas,Zacatecas,2023,1,9,Mom and Pop Store,20.0
Aguascalientes,Aguascalientes,2023,1,11,Mom and Pop Store,21.33
Baja California,Mexicali,2023,1,11,Mom and Pop Store,29.86
Baja California,Tijuana,2023,1,11,Mom and Pop Store,25.45
Baja California Sur,La Paz,2023,1,11,Mom and Pop Store,25.0
Campeche,Campeche,2023,1,11,Mom and Pop Store,24.0
Coahuila,Piedras Negras,2023,1,11,Mom and Pop Store,25.0
Coahuila,Saltillo,2023,1,11,Mom and Pop Store,21.0
Coahuila,Torreón,2023,1,11,Mom and Pop Store,24.0
Colima,Colima,2023,1,11,Mom and Pop Store,26.0
Chiapas,Tapachula,2023,1,11,Mom and Pop Store,22.0
Chiapas,Tuxtla Gutiérrez,2023,1,11,Mom and Pop Store,20.0
Chihuahua,Chihuahua,2023,1,11,Mom and Pop Store,23.67
Chihuahua,Cd. Juárez,2023,1,11,Mom and Pop Store,22.22
D.F.,D.F.,2023,1,11,Mom and Pop Store,20.0
D.F.,ZM D.F.,2023,1,11,Mom and Pop Store,20.0
Durango,Durango,2023,1,11,Mom and Pop Store,20.25
Durango,Gómez Palacio,2023,1,11,Mom and Pop Store,25.5
Guanajuato,Celaya,2023,1,11,Mom and Pop Store,23.0
Guanajuato,León,2023,1,11,Mom and Pop Store,22.0
Guerrero,Acapulco,2023,1,11,Mom and Pop Store,29.0
Guerrero,Chilpancingo,2023,1,11,Mom and Pop Store,25.33
Hidalgo,Pachuca,2023,1,11,Mom and Pop Store,23.0
Jalisco,Guadalajara,2023,1,11,Mom and Pop Store,24.08
Jalisco,ZM Guadalajara,2023,1,11,Mom and Pop Store,24.15
Edo. México,Toluca,2023,1,11,Mom and Pop Store,19.0
Michoacán,Morelia,2023,1,11,Mom and Pop Store,21.57
Morelos,Cuernavaca,2023,1,11,Mom and Pop Store,26.0
Nayarit,Tepic,2023,1,11,Mom and Pop Store,23.33
Nuevo León,Monterrey,2023,1,11,Mom and Pop Store,23.0
Nuevo León,ZM Monterrey,2023,1,11,Mom and Pop Store,23.0
Oaxaca,Oaxaca,2023,1,11,Mom and Pop Store,22.17
Puebla,Puebla,2023,1,11,Mom and Pop Store,16.0
Puebla,ZM Puebla,2023,1,11,Mom and Pop Store,15.0
Querétaro,Querétaro,2023,1,11,Mom and Pop Store,23.5
Quintana Roo,Cancún,2023,1,11,Mom and Pop Store,24.0
Quintana Roo,Chetumal,2023,1,11,Mom and Pop Store,24.0
San Luis Potosí,San Luis Potosí,2023,1,11,Mom and Pop Store,21.0
Sinaloa,Culiacán,2023,1,11,Mom and Pop Store,25.0
Sonora,Cd. Obregón,2023,1,11,Mom and Pop Store,26.33
Sonora,Hermosillo,2023,1,11,Mom and Pop Store,30.0
Sonora,Nogales,2023,1,11,Mom and Pop Store,25.0
Sonora,San Luis Río Colorado,2023,1,11,Mom and Pop Store,
Tabasco,Villahermosa,2023,1,11,Mom and Pop Store,22.6
Tamaulipas,Cd. Victoria,2023,1,11,Mom and Pop Store,23.0
Tamaulipas,Matamoros,2023,1,11,Mom and Pop Store,29.0
Tamaulipas,Nuevo Laredo,2023,1,11,Mom and Pop Store,24.33
Tamaulipas,Reynosa,2023,1,11,Mom and Pop Store,25.25
Tamaulipas,Tampico,2023,1,11,Mom and Pop Store,27.0
Tlaxcala,Tlaxcala,2023,1,11,Mom and Pop Store,16.0
Veracruz,Coatzacoalcos,2023,1,11,Mom and Pop Store,22.0
Veracruz,Veracruz,2023,1,11,Mom and Pop Store,21.25
Veracruz,Xalapa,2023,1,11,Mom and Pop Store,18.5
Yucatán,Mérida,2023,1,11,Mom and Pop Store,25.86
Zacatecas,Zacatecas,2023,1,11,Mom and Pop Store,20.0
Aguascalientes,Aguascalientes,2023,1,13,Mom and Pop Store,21.33
Baja California,Mexicali,2023,1,13,Mom and Pop Store,29.86
Baja California,Tijuana,2023,1,13,Mom and Pop Store,25.45
Baja California Sur,La Paz,2023,1,13,Mom and Pop Store,25.0
Campeche,Campeche,2023,1,13,Mom and Pop Store,24.0
Coahuila,Piedras Negras,2023,1,13,Mom and Pop Store,25.0
Coahuila,Saltillo,2023,1,13,Mom and Pop Store,21.0
Coahuila,Torreón,2023,1,13,Mom and Pop Store,24.0
Colima,Colima,2023,1,13,Mom and Pop Store,26.0
Chiapas,Tapachula,2023,1,13,Mom and Pop Store,22.0
Chiapas,Tuxtla Gutiérrez,2023,1,13,Mom and Pop Store,20.0
Chihuahua,Chihuahua,2023,1,13,Mom and Pop Store,23.67
Chihuahua,Cd. Juárez,2023,1,13,Mom and Pop Store,22.22
D.F.,D.F.,2023,1,13,Mom and Pop Store,20.0
D.F.,ZM D.F.,2023,1,13,Mom and Pop Store,20.0
Durango,Durango,2023,1,13,Mom and Pop Store,20.25
Durango,Gómez Palacio,2023,1,13,Mom and Pop Store,25.5
Guanajuato,Celaya,2023,1,13,Mom and Pop Store,23.0
Guanajuato,León,2023,1,13,Mom and Pop Store,22.0
Guerrero,Acapulco,2023,1,13,Mom and Pop Store,29.0
Guerrero,Chilpancingo,2023,1,13,Mom and Pop Store,25.33
Hidalgo,Pachuca,2023,1,13,Mom and Pop Store,23.0
Jalisco,Guadalajara,2023,1,13,Mom and Pop Store,24.08
Jalisco,ZM Guadalajara,2023,1,13,Mom and Pop Store,24.15
Edo. México,Toluca,2023,1,13,Mom and Pop Store,19.0
Michoacán,Morelia,2023,1,13,Mom and Pop Store,21.57
Morelos,Cuernavaca,2023,1,13,Mom and Pop Store,26.0
Nayarit,Tepic,2023,1,13,Mom and Pop Store,23.33
Nuevo León,Monterrey,2023,1,13,Mom and Pop Store,23.0
Nuevo León,ZM Monterrey,2023,1,13,Mom and Pop Store,23.0
Oaxaca,Oaxaca,2023,1,13,Mom and Pop Store,22.17
Puebla,Puebla,2023,1,13,Mom and Pop Store,16.0
Puebla,ZM Puebla,2023,1,13,Mom and Pop Store,15.0
Querétaro,Querétaro,2023,1,13,Mom and Pop Store,23.33
Quintana Roo,Cancún,2023,1,13,Mom and Pop Store,24.0
Quintana Roo,Chetumal,2023,1,13,Mom and Pop Store,24.0
San Luis Potosí,San Luis Potosí,2023,1,13,Mom and Pop Store,21.0
Sinaloa,Culiacán,2023,1,13,Mom and Pop Store,25.0
Sonora,Cd. Obregón,2023,1,13,Mom and Pop Store,26.33
Sonora,Hermosillo,2023,1,13,Mom and Pop Store,30.0
Sonora,Nogales,2023,1,13,Mom and Pop Store,25.0
Sonora,San Luis Río Colorado,2023,1,13,Mom and Pop Store,
Tabasco,Villahermosa,2023,1,13,Mom and Pop Store,22.6
Tamaulipas,Cd. Victoria,2023,1,13,Mom and Pop Store,23.0
Tamaulipas,Matamoros,2023,1,13,Mom and Pop Store,29.0
Tamaulipas,Nuevo Laredo,2023,1,13,Mom and Pop Store,24.33
Tamaulipas,Reynosa,2023,1,13,Mom and Pop Store,25.25
Tamaulipas,Tampico,2023,1,13,Mom and Pop Store,27.0
Tlaxcala,Tlaxcala,2023,1,13,Mom and Pop Store,16.0
Veracruz,Coatzacoalcos,2023,1,13,Mom and Pop Store,22.0
Veracruz,Veracruz,2023,1,13,Mom and Pop Store,21.25
Veracruz,Xalapa,2023,1,13,Mom and Pop Store,18.5
Yucatán,Mérida,2023,1,13,Mom and Pop Store,25.86
Zacatecas,Zacatecas,2023,1,13,Mom and Pop Store,20.0
Aguascalientes,Aguascalientes,2023,1,16,Mom and Pop Store,21.33
Baja California,Mexicali,2023,1,16,Mom and Pop Store,29.86
Baja California,Tijuana,2023,1,16,Mom and Pop Store,25.45
Baja California Sur,La Paz,2023,1,16,Mom and Pop Store,25.0
Campeche,Campeche,2023,1,16,Mom and Pop Store,24.0
Coahuila,Piedras Negras,2023,1,16,Mom and Pop Store,25.0
Coahuila,Saltillo,2023,1,16,Mom and Pop Store,21.0
Coahuila,Torreón,2023,1,16,Mom and Pop Store,24.0
Colima,Colima,2023,1,16,Mom and Pop Store,26.0
Chiapas,Tapachula,2023,1,16,Mom and Pop Store,22.0
Chiapas,Tuxtla Gutiérrez,2023,1,16,Mom and Pop Store,20.0
Chihuahua,Chihuahua,2023,1,16,Mom and Pop Store,23.67
Chihuahua,Cd. Juárez,2023,1,16,Mom and Pop Store,22.22
D.F.,D.F.,2023,1,16,Mom and Pop Store,20.0
D.F.,ZM D.F.,2023,1,16,Mom and Pop Store,19.74
Durango,Durango,2023,1,16,Mom and Pop Store,20.25
Durango,Gómez Palacio,2023,1,16,Mom and Pop Store,25.5
Guanajuato,Celaya,2023,1,16,Mom and Pop Store,23.0
Guanajuato,León,2023,1,16,Mom and Pop Store,22.0
Guerrero,Acapulco,2023,1,16,Mom and Pop Store,29.0
Guerrero,Chilpancingo,2023,1,16,Mom and Pop Store,25.33
Hidalgo,Pachuca,2023,1,16,Mom and Pop Store,23.0
Jalisco,Guadalajara,2023,1,16,Mom and Pop Store,24.08
Jalisco,ZM Guadalajara,2023,1,16,Mom and Pop Store,24.15
Edo. México,Toluca,2023,1,16,Mom and Pop Store,19.0
Michoacán,Morelia,2023,1,16,Mom and Pop Store,21.57
Morelos,Cuernavaca,2023,1,16,Mom and Pop Store,26.0
Nayarit,Tepic,2023,1,16,Mom and Pop Store,23.33
Nuevo León,Monterrey,2023,1,16,Mom and Pop Store,23.0
Nuevo León,ZM Monterrey,2023,1,16,Mom and Pop Store,23.0
Oaxaca,Oaxaca,2023,1,16,Mom and Pop Store,22.17
Puebla,Puebla,2023,1,16,Mom and Pop Store,16.0
Puebla,ZM Puebla,2023,1,16,Mom and Pop Store,15.0
Querétaro,Querétaro,2023,1,16,Mom and Pop Store,23.33
Quintana Roo,Cancún,2023,1,16,Mom and Pop Store,24.0
Quintana Roo,Chetumal,2023,1,16,Mom and Pop Store,24.0
San Luis Potosí,San Luis Potosí,2023,1,16,Mom and Pop Store,21.0
Sinaloa,Culiacán,2023,1,16,Mom and Pop Store,25.0
Sonora,Cd. Obregón,2023,1,16,Mom and Pop Store,26.33
Sonora,Hermosillo,2023,1,16,Mom and Pop Store,30.0
Sonora,Nogales,2023,1,16,Mom and Pop Store,25.0
Sonora,San Luis Río Colorado,2023,1,16,Mom and Pop Store,
Tabasco,Villahermosa,2023,1,16,Mom and Pop Store,22.6
Tamaulipas,Cd. Victoria,2023,1,16,Mom and Pop Store,23.0
Tamaulipas,Matamoros,2023,1,16,Mom and Pop Store,29.0
Tamaulipas,Nuevo Laredo,2023,1,16,Mom and Pop Store,24.33
Tamaulipas,Reynosa,2023,1,16,Mom and Pop Store,25.25
Tamaulipas,Tampico,2023,1,16,Mom and Pop Store,27.0
Tlaxcala,Tlaxcala,2023,1,16,Mom and Pop Store,16.0
Veracruz,Coatzacoalcos,2023,1,16,Mom and Pop Store,22.0
Veracruz,Veracruz,2023,1,16,Mom and Pop Store,21.25
Veracruz,Xalapa,2023,1,16,Mom and Pop Store,18.5
Yucatán,Mérida,2023,1,16,Mom and Pop Store,25.86
Zacatecas,Zacatecas,2023,1,16,Mom and Pop Store,20.0
Aguascalientes,Aguascalientes,2023,1,18,Mom and Pop Store,21.33
Baja California,Mexicali,2023,1,18,Mom and Pop Store,29.86
Baja California,Tijuana,2023,1,18,Mom and Pop Store,25.45
Baja California Sur,La Paz,2023,1,18,Mom and Pop Store,25.0
Campeche,Campeche,2023,1,18,Mom and Pop Store,24.0
Coahuila,Piedras Negras,2023,1,18,Mom and Pop Store,25.0
Coahuila,Saltillo,2023,1,18,Mom and Pop Store,21.0
Coahuila,Torreón,2023,1,18,Mom and Pop Store,24.0
Colima,Colima,2023,1,18,Mom and Pop Store,26.0
Chiapas,Tapachula,2023,1,18,Mom and Pop Store,22.0
Chiapas,Tuxtla Gutiérrez,2023,1,18,Mom and Pop Store,20.0
Chihuahua,Chihuahua,2023,1,18,Mom and Pop Store,23.67
Chihuahua,Cd. Juárez,2023,1,18,Mom and Pop Store,22.22
D.F.,D.F.,2023,1,18,Mom and Pop Store,20.0
